title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Into the Radius VR,139999,win,,"20 Jul, 2020",Indie,no,CM Games,CM Games,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards",6971,,,Very Positive
Skul: The Hero Slayer,165999,"win, mac, linux",,"20 Jan, 2021","Action, Indie",no,SOUTHPAW GAMES,NEOWIZ,"Single-player, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",37559,2.0,80,Very Positive
Placid Plastic Duck Simulator,17499,win,,"6 Jul, 2022","Casual, Simulation",no,turbolento games,turbolento games,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud",7348,0.5,,Overwhelmingly Positive
Company of Heroes,135999,win,,"13 Oct, 2009","Action, Strategy",no,Relic Entertainment,SEGA,"Single-player, Steam Trading Cards, Steam Workshop, Steam Cloud",8994,,93,Very Positive
Super Robot Wars 30,679000,win,,"27 Oct, 2021","RPG, Simulation, Strategy",no,"B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",4270,15.0,79,Very Positive
"Gremlins, Inc.",0,"win, mac, linux",-75%,"10 Mar, 2016","Indie, Strategy",no,Charlie Oscar Lima Tango Interactive Entertainment,Charlie Oscar Lima Tango Interactive Entertainment,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats",5574,1.0,75,Mostly Positive
eden*,0,win,-50%,"30 Jan, 2015",Adventure,no,minori,minori,"Single-player, Steam Trading Cards, Steam Cloud",2232,,,Very Positive
Black Skylands,0,win,-40%,"9 Jul, 2021","Action, Adventure, Indie, RPG, Early Access",no,Hungry Couch Games,tinyBuild,"Single-player, Full controller support, Steam Cloud",1118,,,Very Positive
Age of Empires: Definitive Edition,265000,win,,"19 Aug, 2019",Strategy,no,"Forgotten Empires, Tantalus",Xbox Game Studios,"Single-player, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor",10392,20.0,69,Mostly Positive
Steel Division: Normandy 44,269999,win,,"23 May, 2017","Action, Simulation, Strategy",no,Eugen Systems,Eugen Systems,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop",4495,32.0,83,Mostly Positive
War Planet Online: Global Conquest,0,win,,"19 Dec, 2017","Free to Play, Massively Multiplayer, Strategy",no,Gameloft,Gameloft,"MMO, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Steam Cloud",737,2.0,,Mixed
Pro Soccer Online,69999,win,,"15 Nov, 2021","Sports, Early Access",no,Skywall Studios LLC,Skywall Studios LLC,"Online PvP, Steam Achievements, Stats, Steam Leaderboards",10089,,,Very Positive
Landlord's Super,0,win,-30%,"25 May, 2023","Adventure, Indie, RPG, Simulation",no,Minskworks,Minskworks,Single-player,946,,,Mixed
SMASH LEGENDS,0,win,,"12 Apr, 2021","Action, Casual, Free to Play",no,5minlab Corp.,5minlab Corp.,"Online PvP, Online Co-op, Cross-Platform Multiplayer, In-App Purchases, Partial Controller Support",6229,2.0,,Mostly Positive
Tinykin,0,win,-40%,"30 Aug, 2022","Action, Adventure, Indie",no,Splashteam,tinyBuild,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards",885,,,Very Positive
Teenage Mutant Ninja Turtles: Shredder's Revenge,206999,"win, linux",,"16 Jun, 2022","Action, Adventure, Casual, Indie",no,Tribute Games Inc.,Dotemu,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together",9755,2.0,,Very Positive
Danganronpa V3: Killing Harmony,169999,win,,"25 Sep, 2017",Adventure,no,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",15477,26.0,80,Mostly Positive
Tavern Master,95999,"win, mac, linux",,"16 Nov, 2021","Simulation, Strategy",no,Untitled Studio,WhisperGames,"Single-player, Steam Achievements, Steam Cloud",5537,,,Very Positive
Strange Horticulture,130999,"win, mac",,"21 Jan, 2022","Adventure, Indie, Simulation",no,Bad Viking,Iceberg Interactive,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",6676,,83,Very Positive
GRIME,0,"win, mac",-33%,"2 Aug, 2021","Action, Indie, RPG",no,Clover Bite,Akupara Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",3007,,81,Very Positive
Galactic Civilizations IV: Supernova,299999,win,,"27 Apr, 2023","Indie, Strategy, Early Access",no,Stardock Entertainment,Stardock Entertainment,"Single-player, Steam Achievements, Steam Cloud",119,22.0,,Mostly Positive
